date,year,month,day,6138 ダイジェット工業(株),5009 富士興産(株),6185 ＳＭＮ(株),3667 (株)ｅｎｉｓｈ,レオパレス21：前日比,レオパレス21：翌日比
2019-06-13,2019,6,13,1.0,19.0,-16.0,-12.0,-2.0,-12.0
2019-06-12,2019,6,12,5.0,45.0,23.0,-31.0,-23.0,-2.0
2019-06-11,2019,6,11,10.0,54.0,-10.0,14.0,-1.0,-23.0
2019-06-10,2019,6,10,20.0,44.0,-14.0,9.0,12.0,-1.0
2019-06-07,2019,6,7,7.0,59.0,7.0,-19.0,46.0,12.0
2019-06-06,2019,6,6,-28.0,-42.0,7.0,20.0,0.0,46.0
2019-06-05,2019,6,5,-23.0,26.0,9.0,-10.0,-14.0,0.0
2019-06-04,2019,6,4,4.0,28.0,2.0,-31.0,-11.0,-14.0
2019-06-03,2019,6,3,39.0,11.0,28.0,-4.0,-15.0,-11.0
2019-05-31,2019,5,31,-50.0,14.0,-3.0,28.0,19.0,-15.0
2019-05-30,2019,5,30,16.0,4.0,-18.0,53.0,-11.0,19.0
2019-05-29,2019,5,29,-82.0,3.0,1.0,-31.0,-12.0,-11.0
2019-05-28,2019,5,28,-37.0,9.0,-49.0,-14.0,-80.0,-12.0
2019-05-27,2019,5,27,-42.0,-5.0,-13.0,-23.0,4.0,-80.0
